timestamp, index, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/08 21:05:09.667, 1, 2, 0, 2325, 84.21, 1091
2026/08/08 21:05:09.768, 0, 2, 0, 2407, 88.69, 43523
2026/08/08 21:05:09.768, 1, 2, 0, 2325, 84.21, 1091
2026/08/08 21:05:09.868, 0, 45, 3, 2407, 89.21, 43557
2026/08/08 21:05:09.868, 1, 0, 0, 2325, 84.29, 1093
2026/08/08 21:05:09.968, 0, 45, 3, 2407, 89.22, 43557
2026/08/08 21:05:09.968, 1, 0, 0, 2325, 84.29, 1093
2026/08/08 21:05:10.068, 0, 0, 0, 2407, 88.94, 43559
2026/08/08 21:05:10.068, 1, 0, 0, 2325, 84.29, 1093
2026/08/08 21:05:10.168, 0, 0, 0, 2407, 88.28, 43559
2026/08/08 21:05:10.168, 1, 0, 0, 2325, 84.31, 1095
2026/08/08 21:05:10.268, 0, 0, 0, 2407, 88.21, 43559
2026/08/08 21:05:10.275, 1, 0, 0, 2325, 84.26, 1095
2026/08/08 21:05:10.375, 0, 0, 0, 2407, 88.26, 43561
2026/08/08 21:05:10.375, 1, 0, 0, 2325, 84.29, 1097
2026/08/08 21:05:10.475, 0, 0, 0, 2407, 88.46, 45865
2026/08/08 21:05:10.475, 1, 0, 0, 2325, 84.23, 1097
2026/08/08 21:05:10.575, 0, 0, 0, 2407, 89.08, 45897
2026/08/08 21:05:10.575, 1, 0, 0, 2325, 84.33, 1161
2026/08/08 21:05:10.675, 0, 2, 0, 2407, 89.13, 45897
2026/08/08 21:05:10.675, 1, 2, 0, 2325, 84.31, 1161
2026/08/08 21:05:10.775, 0, 2, 0, 2407, 89.03, 45897
2026/08/08 21:05:10.775, 1, 2, 0, 2325, 84.32, 1161
2026/08/08 21:05:10.875, 0, 2, 0, 2407, 88.22, 45899
2026/08/08 21:05:10.875, 1, 2, 0, 2325, 84.28, 1163
2026/08/08 21:05:10.975, 0, 2, 0, 2407, 88.18, 45899
2026/08/08 21:05:10.999, 1, 2, 0, 2325, 84.24, 1163
2026/08/08 21:05:11.099, 0, 0, 0, 2407, 88.23, 45901
2026/08/08 21:05:11.099, 1, 0, 0, 2325, 84.31, 1165
2026/08/08 21:05:11.199, 0, 0, 0, 2407, 88.18, 45901
2026/08/08 21:05:11.199, 1, 0, 0, 2325, 84.26, 3469
2026/08/08 21:05:11.299, 0, 0, 0, 2407, 88.21, 45903
2026/08/08 21:05:11.299, 1, 37, 3, 2325, 85.22, 3535
2026/08/08 21:05:11.400, 0, 0, 0, 2407, 88.23, 45903
2026/08/08 21:05:11.400, 1, 37, 3, 2325, 85.24, 3535
2026/08/08 21:05:11.500, 0, 0, 0, 2407, 87.98, 45903
2026/08/08 21:05:11.500, 1, 0, 0, 2325, 85.23, 3535
2026/08/08 21:05:11.600, 0, 0, 0, 2407, 87.39, 45903
2026/08/08 21:05:11.600, 1, 0, 0, 2325, 85.25, 3535
2026/08/08 21:05:11.700, 0, 1, 0, 2407, 87.38, 45903
2026/08/08 21:05:11.716, 1, 2, 0, 2325, 85.19, 3535
2026/08/08 21:05:11.816, 0, 1, 0, 2407, 87.41, 45905
2026/08/08 21:05:11.816, 1, 2, 0, 2325, 85.26, 3537
2026/08/08 21:05:11.916, 0, 2, 0, 2407, 87.37, 45905
2026/08/08 21:05:11.916, 1, 2, 0, 2325, 85.23, 5841
2026/08/08 21:05:12.016, 0, 2, 0, 2407, 87.43, 45907
2026/08/08 21:05:12.017, 1, 2, 0, 2325, 86.11, 5875
2026/08/08 21:05:12.117, 0, 2, 0, 2407, 87.41, 45907
2026/08/08 21:05:12.117, 1, 21, 1, 2325, 86.14, 5875
2026/08/08 21:05:12.217, 0, 2, 0, 2407, 87.45, 45907
2026/08/08 21:05:12.217, 1, 21, 1, 2325, 86.12, 5875
2026/08/08 21:05:12.317, 0, 0, 0, 2407, 87.47, 45909
2026/08/08 21:05:12.317, 1, 0, 0, 2325, 85.27, 5877
2026/08/08 21:05:12.417, 0, 0, 0, 2407, 87.47, 45909
2026/08/08 21:05:12.430, 1, 0, 0, 2325, 85.20, 5877
2026/08/08 21:05:12.530, 0, 0, 0, 2407, 87.47, 45909
2026/08/08 21:05:12.530, 1, 0, 0, 2325, 85.24, 5877
2026/08/08 21:05:12.631, 0, 0, 0, 2407, 87.44, 45909
2026/08/08 21:05:12.631, 1, 0, 0, 2325, 85.19, 8181
2026/08/08 21:05:12.731, 0, 0, 0, 2407, 87.45, 45911
2026/08/08 21:05:12.731, 1, 10, 1, 2325, 85.96, 8247
2026/08/08 21:05:12.831, 0, 0, 0, 2407, 87.49, 45911
2026/08/08 21:05:12.831, 1, 10, 1, 2325, 86.11, 8247
2026/08/08 21:05:12.931, 0, 2, 0, 2407, 87.48, 45911
2026/08/08 21:05:12.931, 1, 2, 0, 2325, 86.08, 8247
2026/08/08 21:05:13.031, 0, 2, 0, 2407, 87.50, 45913
2026/08/08 21:05:13.031, 1, 2, 0, 2325, 85.42, 8249
2026/08/08 21:05:13.131, 0, 2, 0, 2407, 87.50, 45913
2026/08/08 21:05:13.145, 1, 2, 0, 2325, 85.23, 8249
2026/08/08 21:05:13.245, 0, 2, 0, 2407, 87.49, 45915
2026/08/08 21:05:13.245, 1, 2, 0, 2325, 85.20, 8251
2026/08/08 21:05:13.345, 0, 2, 0, 2407, 87.51, 45915
2026/08/08 21:05:13.345, 1, 2, 0, 2325, 85.76, 10555
2026/08/08 21:05:13.445, 0, 2, 0, 2407, 87.54, 45915
2026/08/08 21:05:13.445, 1, 45, 3, 2325, 86.14, 10619
2026/08/08 21:05:13.545, 0, 0, 0, 2407, 87.55, 45915
2026/08/08 21:05:13.545, 1, 45, 3, 2325, 86.13, 10619
2026/08/08 21:05:13.646, 0, 0, 0, 2407, 87.54, 45915
2026/08/08 21:05:13.646, 1, 0, 0, 2325, 85.75, 10619
2026/08/08 21:05:13.746, 0, 0, 0, 2415, 87.53, 45917
2026/08/08 21:05:13.746, 1, 0, 0, 2325, 85.29, 10621
2026/08/08 21:05:13.846, 0, 0, 0, 2415, 87.53, 45917
2026/08/08 21:05:13.857, 1, 0, 0, 2325, 85.29, 10621
2026/08/08 21:05:13.957, 0, 0, 0, 2415, 87.55, 45919
2026/08/08 21:05:13.957, 1, 0, 0, 2325, 85.33, 10623
2026/08/08 21:05:14.057, 0, 0, 0, 2415, 87.51, 45919
2026/08/08 21:05:14.057, 1, 0, 0, 2325, 85.59, 12927
2026/08/08 21:05:14.157, 0, 0, 0, 2415, 87.52, 45921
2026/08/08 21:05:14.157, 1, 0, 0, 2325, 86.20, 12993
2026/08/08 21:05:14.257, 0, 0, 0, 2415, 87.50, 45921
2026/08/08 21:05:14.257, 1, 2, 0, 2325, 86.20, 12993
2026/08/08 21:05:14.357, 0, 2, 0, 2415, 87.45, 45921
2026/08/08 21:05:14.358, 1, 2, 0, 2325, 86.00, 12993
2026/08/08 21:05:14.458, 0, 2, 0, 2415, 87.43, 45921
2026/08/08 21:05:14.458, 1, 2, 0, 2325, 85.29, 12993
2026/08/08 21:05:14.558, 0, 2, 0, 2415, 87.45, 45921
2026/08/08 21:05:14.569, 1, 2, 0, 2325, 85.28, 12993
2026/08/08 21:05:14.669, 0, 2, 0, 2407, 87.49, 45923
2026/08/08 21:05:14.669, 1, 2, 0, 2325, 85.29, 12995
2026/08/08 21:05:14.769, 0, 2, 0, 2407, 87.46, 45923
2026/08/08 21:05:14.769, 1, 2, 0, 2325, 85.35, 15299
2026/08/08 21:05:14.869, 0, 0, 0, 2407, 87.47, 45925
2026/08/08 21:05:14.869, 1, 45, 3, 2325, 86.15, 15333
2026/08/08 21:05:14.969, 0, 0, 0, 2407, 87.45, 45925
2026/08/08 21:05:14.969, 1, 45, 3, 2325, 86.12, 15333
2026/08/08 21:05:15.069, 0, 0, 0, 2407, 87.43, 45925
2026/08/08 21:05:15.069, 1, 0, 0, 2325, 85.84, 15335
2026/08/08 21:05:15.170, 0, 0, 0, 2407, 87.46, 45927
