timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:45:49.063, 0, 0 %, 31572 MiB, 65.97 W, 2617 MHz
2026/09/22 23:45:49.063, 1, 0 %, 2804 MiB, 12.73 W, 180 MHz
2026/09/22 23:45:49.313, 0, 0 %, 31572 MiB, 65.28 W, 2610 MHz
2026/09/22 23:45:49.313, 1, 0 %, 2804 MiB, 12.82 W, 180 MHz
2026/09/22 23:45:49.563, 0, 0 %, 31572 MiB, 65.28 W, 2610 MHz
2026/09/22 23:45:49.563, 1, 0 %, 2804 MiB, 12.82 W, 180 MHz
2026/09/22 23:45:49.813, 0, 0 %, 31604 MiB, 64.01 W, 2610 MHz
2026/09/22 23:45:49.813, 1, 0 %, 2804 MiB, 13.04 W, 180 MHz
2026/09/22 23:45:50.064, 0, 0 %, 31604 MiB, 64.01 W, 2610 MHz
2026/09/22 23:45:50.064, 1, 0 %, 2804 MiB, 13.04 W, 180 MHz
2026/09/22 23:45:50.314, 0, 0 %, 31604 MiB, 64.10 W, 2617 MHz
2026/09/22 23:45:50.314, 1, 0 %, 2804 MiB, 12.93 W, 180 MHz
2026/09/22 23:45:50.564, 0, 0 %, 31636 MiB, 64.10 W, 2617 MHz
2026/09/22 23:45:50.564, 1, 0 %, 2804 MiB, 12.93 W, 180 MHz
2026/09/22 23:45:50.814, 0, 1 %, 31668 MiB, 64.17 W, 2617 MHz
2026/09/22 23:45:50.814, 1, 0 %, 2804 MiB, 12.76 W, 180 MHz
2026/09/22 23:45:51.064, 0, 1 %, 35124 MiB, 64.17 W, 2617 MHz
2026/09/22 23:45:51.064, 1, 0 %, 2804 MiB, 12.76 W, 180 MHz
2026/09/22 23:45:51.314, 0, 8 %, 35156 MiB, 65.50 W, 2617 MHz
2026/09/22 23:45:51.315, 1, 0 %, 2804 MiB, 12.87 W, 180 MHz
2026/09/22 23:45:51.565, 0, 8 %, 35188 MiB, 65.50 W, 2617 MHz
2026/09/22 23:45:51.565, 1, 0 %, 2804 MiB, 12.87 W, 180 MHz
2026/09/22 23:45:51.815, 0, 0 %, 35188 MiB, 66.37 W, 2617 MHz
2026/09/22 23:45:51.815, 1, 0 %, 2804 MiB, 13.13 W, 180 MHz
2026/09/22 23:45:52.065, 0, 0 %, 35188 MiB, 66.37 W, 2617 MHz
2026/09/22 23:45:52.065, 1, 0 %, 2804 MiB, 13.13 W, 180 MHz
2026/09/22 23:45:52.315, 0, 0 %, 35220 MiB, 65.66 W, 2610 MHz
2026/09/22 23:45:52.315, 1, 0 %, 2804 MiB, 13.16 W, 180 MHz
2026/09/22 23:45:52.565, 0, 0 %, 35220 MiB, 65.66 W, 2610 MHz
2026/09/22 23:45:52.566, 1, 0 %, 2804 MiB, 13.16 W, 180 MHz
2026/09/22 23:45:52.816, 0, 0 %, 35220 MiB, 64.32 W, 2617 MHz
2026/09/22 23:45:52.816, 1, 0 %, 2804 MiB, 13.20 W, 180 MHz
2026/09/22 23:45:53.066, 0, 0 %, 35252 MiB, 64.32 W, 2617 MHz
2026/09/22 23:45:53.066, 1, 0 %, 2804 MiB, 13.20 W, 180 MHz
2026/09/22 23:45:53.316, 0, 1 %, 35252 MiB, 64.19 W, 2617 MHz
2026/09/22 23:45:53.316, 1, 0 %, 2804 MiB, 13.04 W, 180 MHz
2026/09/22 23:45:53.566, 0, 1 %, 35252 MiB, 64.19 W, 2617 MHz
2026/09/22 23:45:53.566, 1, 0 %, 2804 MiB, 13.04 W, 180 MHz
2026/09/22 23:45:53.816, 0, 0 %, 35284 MiB, 64.06 W, 2610 MHz
2026/09/22 23:45:53.817, 1, 0 %, 2804 MiB, 12.94 W, 180 MHz
2026/09/22 23:45:54.067, 0, 0 %, 35284 MiB, 64.06 W, 2610 MHz
2026/09/22 23:45:54.067, 1, 0 %, 2804 MiB, 12.94 W, 180 MHz
2026/09/22 23:45:54.317, 0, 0 %, 38772 MiB, 64.27 W, 2617 MHz
2026/09/22 23:45:54.317, 1, 0 %, 2804 MiB, 12.91 W, 180 MHz
2026/09/22 23:45:54.567, 0, 0 %, 38772 MiB, 64.27 W, 2617 MHz
2026/09/22 23:45:54.567, 1, 0 %, 2804 MiB, 12.91 W, 180 MHz
2026/09/22 23:45:54.817, 0, 9 %, 38772 MiB, 66.69 W, 2617 MHz
2026/09/22 23:45:54.817, 1, 0 %, 2804 MiB, 12.90 W, 180 MHz
2026/09/22 23:45:55.067, 0, 9 %, 38772 MiB, 66.69 W, 2617 MHz
