timestamp, uuid, memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/21 03:24:38.691, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 316.98, 46
2026/09/21 03:24:38.941, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.13, 46
2026/09/21 03:24:39.191, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.33, 46
2026/09/21 03:24:39.442, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.42, 46
2026/09/21 03:24:39.692, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.63, 46
2026/09/21 03:24:39.942, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.69, 46
2026/09/21 03:24:40.192, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.73, 46
2026/09/21 03:24:40.442, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.80, 47
2026/09/21 03:24:40.692, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.81, 47
2026/09/21 03:24:40.942, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 317.90, 47
2026/09/21 03:24:41.192, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.20, 47
2026/09/21 03:24:41.442, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.21, 47
2026/09/21 03:24:41.692, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.28, 47
2026/09/21 03:24:41.942, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.28, 47
2026/09/21 03:24:42.192, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.27, 47
2026/09/21 03:24:42.442, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.39, 47
2026/09/21 03:24:42.693, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.44, 47
2026/09/21 03:24:42.943, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.60, 47
2026/09/21 03:24:43.193, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.87, 47
2026/09/21 03:24:43.443, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.76, 47
2026/09/21 03:24:43.693, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.60, 47
2026/09/21 03:24:43.943, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.67, 47
2026/09/21 03:24:44.193, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.43, 47
2026/09/21 03:24:44.443, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.55, 47
2026/09/21 03:24:44.693, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.69, 47
2026/09/21 03:24:44.943, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.67, 47
2026/09/21 03:24:45.193, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.77, 47
2026/09/21 03:24:45.443, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.73, 47
