format	memra-checkpoint-oracle-v1
engine	memra-native-serving-numeric
numeric_class	serving-weight-and-cache-formats
tokens	1,2,3,4
vocab	154880
logit	949	4087c52c
logit	950	bfa4b643
logit	951	bfc2fe4a
logit	952	408892f4
logit	953	404e3f03
logit	954	3ec30536
logit	955	c03a61e4
logit	956	402cf597
logit	957	403f847d
logit	958	3efc14d4
logit	959	c01da7d2
logit	960	3ef15e10
logit	961	404d98e1
logit	962	3e9f504b
logit	963	40b58a6d
logit	964	3c7335c0
logit	965	3fc0e934
logit	966	3f7331ca
logit	967	bf0d4628
logit	968	409a47a6
logit	969	403ba354
logit	970	403f39d2
logit	971	bf9caecc
logit	972	bfe73a9b
logit	973	3f1ff14a
logit	974	c04e9680
logit	975	3f96b7fc
logit	976	4024e6ba
logit	977	bfecefde
logit	978	406e2a33
logit	979	40a78414
logit	980	bfff067e
logit	981	408316ef
logit	982	3ff55c1e
logit	983	40ab72ac
logit	984	be3e62b0
logit	985	bef46d25
logit	986	3f9029ee
logit	987	bf836bfd
logit	988	bf5b9e58
logit	989	bf75138f
logit	990	4083f304
logit	991	bffeb833
logit	992	bd9aee78
logit	993	400f6ce8
logit	994	bf596b1f
logit	995	bfddf54a
logit	996	bfdfb0a0
logit	997	403f93cd
logit	998	be2e1bdc
logit	999	3fd37b71
logit	1000	c047578e
logit	1001	40776570
logit	1002	bf93e43c
logit	1003	3fcf56a7
logit	1004	3ff42336
logit	1005	407b54aa
logit	1006	40f3e614
logit	1007	403d3312
logit	1008	404da7aa
logit	1009	410247a9
logit	1010	4096bc22
logit	1011	404dad04
logit	1012	4034c7d8
logit	1013	40468df8
logit	1014	3fc21649
logit	1015	403dbb06
logit	1016	403818be
logit	1017	bf0271ec
logit	1018	411ecae5
logit	1019	402b393b
logit	1020	401b746d
logit	1021	beffcb00
logit	1022	40363236
logit	1023	3d2663a0
logit	1024	4025b9a7
logit	1025	bfcb6f48
logit	1026	3f26f5dc
logit	1027	40b17c3e
logit	1028	4048253c
logit	1029	3fabcf51
logit	1030	402ae0f7
logit	1031	3f9dd3bf
logit	1032	40247e4c
logit	1033	405c8edb
logit	1034	403dc8c8
logit	1035	403f40b5
logit	1036	40c3e595
logit	1037	3f787c08
logit	1038	4080fc64
logit	1039	4054cb38
logit	1040	3fe1bf02
logit	1041	3f17ff74
logit	1042	409e0530
logit	1043	40b9f2a0
logit	1044	3fdaea23
logit	1045	408ac92c
logit	1046	401bd504
logit	1047	404cb667
logit	1048	bef25eb6
logit	1049	405d481c
logit	1050	403d1b38
logit	1051	3f33f57c
logit	1052	408416d2
logit	1053	3fd53fd0
logit	1054	402e6e93
logit	1055	40722906
logit	1056	402868c0
logit	1057	40b848fb
logit	1058	3fa224a6
logit	1059	409bebef
logit	1060	40677091
logit	1061	407634c0
logit	1062	40316f17
logit	1063	3f82dd5a
logit	1064	3fcc1b70
logit	1065	408d1659
logit	1066	40416594
logit	1067	3f107624
logit	1068	3e1f7f88
logit	1069	bfd1843a
logit	1070	be54cc51
logit	1071	3c7c5b80
logit	1072	401ea565
logit	1073	3fccbbee
logit	1074	3fbfce6e
logit	1075	407b728c
logit	1076	bf95795d
logit	1077	403c54fd
logit	1078	3fd74881
logit	1079	40959621
logit	1080	3f375e5a
logit	1081	4038d786
logit	1082	bf0ba128
logit	1083	405be639
logit	1084	4090a2e6
logit	1085	3fbbf324
logit	1086	bf24fc0a
logit	1087	403d0c73
logit	1088	bec637d2
logit	1089	3d5d34d0
logit	1090	bf575dc2
logit	1091	4035dd11
logit	1092	40848b4a
logit	1093	406f2f61
logit	1094	4040e375
logit	1095	3f4faebc
logit	1096	40c8e533
logit	1097	4057967c
logit	1098	c005ddaa
logit	1099	bd5972d8
logit	1100	c0117a6e
logit	1101	405906b4
logit	1102	3ff04053
logit	1103	3f8eebd0
logit	1104	bed9d3db
logit	1105	4042ba3a
logit	1106	3f72bab4
logit	1107	4033607e
logit	1108	be96abc0
logit	1109	404ad622
logit	1110	402e8e36
logit	1111	bf6678aa
logit	1112	41011d1c
logit	1113	bf88b256
logit	1114	3f3a0e96
logit	1115	401c68f4
logit	1116	beb992a6
logit	1117	c04997a1
logit	1118	4082d098
logit	1119	40c2b784
logit	1120	bf2e0dbd
logit	1121	40b674be
logit	1122	3e5de750
logit	1123	3faf27cb
logit	1124	40accddd
logit	1125	3f4aea58
logit	1126	40260e29
logit	1127	3cd9f300
logit	1128	409de2be
logit	1129	3fc7ed4c
logit	1130	40797af5
logit	1131	40d32914
logit	1132	c061aeed
logit	1133	be282a9c
logit	1134	40135d82
logit	1135	bfc8e85a
logit	1136	3ff9318d
logit	1137	4078e7b5
logit	1138	40930819
logit	1139	bf77c08c
logit	1140	3fc551bf
logit	1141	3faaa996
logit	1142	409121b6
logit	1143	4015fab8
logit	1144	bc9d8510
logit	1145	bfe03ba0
logit	1146	bf177ad6
logit	1147	40a7804e
logit	1148	bed30124
logit	1149	4033d85e
logit	1150	40967733
logit	1151	404cdac8
logit	1152	3fb6ec3d
logit	1153	bf1fb59c
logit	1154	40d2011c
logit	1155	be116746
logit	1156	405bfe94
logit	1157	404f9e2d
logit	1158	40286b33
logit	1159	3f24ca6a
logit	1160	400d67f8
logit	1161	4002d32c
logit	1162	40734f48
logit	1163	3feb8344
logit	1164	c0881ca7
logit	1165	3f902c6e
logit	1166	3ef53937
logit	1167	bfe7abcb
logit	1168	be911244
logit	1169	bf74a1e2
logit	1170	c040ac85
logit	1171	401cb244
logit	1172	405f1eba
logit	1173	403d3068
logit	1174	402a76c8
logit	1175	c0032bad
logit	1176	4031385b
logit	1177	4077b071
logit	1178	405285fd
logit	1179	3fe38dee
logit	1180	bf247927
logit	1181	409ef25a
logit	1182	40ad7501
logit	1183	4086293a
logit	1184	40706139
logit	1185	3fa6c732
logit	1186	4010abfc
logit	1187	3fc7ca77
logit	1188	40a36504
logit	1189	40e23758
logit	1190	401d206a
