timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:54:23.588, 0, 0 %, 35124 MiB, 64.82 W, 2610 MHz
2026/09/22 23:54:23.588, 1, 0 %, 2804 MiB, 14.34 W, 180 MHz
2026/09/22 23:54:23.838, 0, 23 %, 35156 MiB, 66.02 W, 2617 MHz
2026/09/22 23:54:23.838, 1, 0 %, 2804 MiB, 13.59 W, 180 MHz
2026/09/22 23:54:24.088, 0, 23 %, 35188 MiB, 66.02 W, 2617 MHz
2026/09/22 23:54:24.088, 1, 0 %, 2804 MiB, 13.59 W, 180 MHz
2026/09/22 23:54:24.339, 0, 0 %, 35188 MiB, 67.38 W, 2617 MHz
2026/09/22 23:54:24.339, 1, 0 %, 2804 MiB, 13.25 W, 180 MHz
2026/09/22 23:54:24.589, 0, 0 %, 35188 MiB, 67.38 W, 2617 MHz
2026/09/22 23:54:24.589, 1, 0 %, 2804 MiB, 13.25 W, 180 MHz
2026/09/22 23:54:24.839, 0, 0 %, 35220 MiB, 66.15 W, 2610 MHz
2026/09/22 23:54:24.839, 1, 0 %, 2804 MiB, 14.43 W, 180 MHz
2026/09/22 23:54:25.089, 0, 0 %, 35220 MiB, 66.15 W, 2610 MHz
2026/09/22 23:54:25.089, 1, 0 %, 2804 MiB, 14.43 W, 180 MHz
2026/09/22 23:54:25.339, 0, 0 %, 35220 MiB, 64.79 W, 2617 MHz
2026/09/22 23:54:25.340, 1, 0 %, 2804 MiB, 14.48 W, 180 MHz
2026/09/22 23:54:25.590, 0, 0 %, 35252 MiB, 64.79 W, 2617 MHz
2026/09/22 23:54:25.590, 1, 0 %, 2804 MiB, 14.48 W, 180 MHz
2026/09/22 23:54:25.840, 0, 0 %, 35252 MiB, 64.88 W, 2610 MHz
2026/09/22 23:54:25.840, 1, 0 %, 2804 MiB, 13.74 W, 180 MHz
2026/09/22 23:54:26.090, 0, 0 %, 35252 MiB, 64.88 W, 2610 MHz
2026/09/22 23:54:26.090, 1, 0 %, 2804 MiB, 13.74 W, 180 MHz
2026/09/22 23:54:26.340, 0, 0 %, 35284 MiB, 64.84 W, 2610 MHz
2026/09/22 23:54:26.340, 1, 0 %, 2804 MiB, 13.75 W, 172 MHz
2026/09/22 23:54:26.590, 0, 0 %, 35284 MiB, 64.84 W, 2610 MHz
2026/09/22 23:54:26.590, 1, 0 %, 2804 MiB, 13.75 W, 172 MHz
2026/09/22 23:54:26.841, 0, 0 %, 38772 MiB, 64.87 W, 2617 MHz
2026/09/22 23:54:26.841, 1, 0 %, 2804 MiB, 13.83 W, 180 MHz
2026/09/22 23:54:27.091, 0, 0 %, 38772 MiB, 64.87 W, 2617 MHz
2026/09/22 23:54:27.091, 1, 0 %, 2804 MiB, 13.83 W, 180 MHz
2026/09/22 23:54:27.341, 0, 0 %, 38772 MiB, 67.14 W, 2610 MHz
2026/09/22 23:54:27.341, 1, 0 %, 2804 MiB, 13.36 W, 180 MHz
