arm,model,shape,phase,relative_pc,sass,instructions_executed,conflict_degree,actual_wavefronts,ideal_wavefronts,excess_wavefronts
baseline,q27,4096,other_shared,0x00ddd0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00df10,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00e070,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00e1f0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00e330,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00e490,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00e610,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00e750,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00e8b0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ea30,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00eb70,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ecd0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ee50,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ef90,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00f0f0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00f270,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00f3b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00f510,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,764,q_ldmatrix,0x000e10,"LDSM.16.M88.4 R48, [R48]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x000e60,"LDSM.16.M88.4 R52, [R52]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x000ed0,"LDSM.16.M88.4 R56, [R56]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x000f40,"LDSM.16.M88.4 R64, [R64]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x000f80,"LDSM.16.M88.4 R72, [R72]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001020,"LDSM.16.M88.4 R84, [R84]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001100,"LDSM.16.M88.4 R92, [R92]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001150,"LDSM.16.M88.4 R60, [R60]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001190,"LDSM.16.M88.4 R68, [R68]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001220,"LDSM.16.M88.4 R76, [R76]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001270,"LDSM.16.M88.4 R80, [R80]",1152,32,36864,4608,32256
