model.embed_tokens.weight	TokenEmbedding
model.layers.19.share_expert.gate_proj.weight	Layer { index: 19, tensor: SharedMlpGate }
model.layers.19.share_expert.up_proj.weight	Layer { index: 19, tensor: SharedMlpUp }
model.layers.19.share_expert.down_proj.weight	Layer { index: 19, tensor: SharedMlpDown }
model.layers.20.input_layernorm.weight	Layer { index: 20, tensor: PreAttentionNorm }
model.layers.20.self_attn.q_proj.weight	Layer { index: 20, tensor: Query }
model.layers.20.self_attn.k_proj.weight	Layer { index: 20, tensor: Key }
model.layers.20.self_attn.o_proj.weight	Layer { index: 20, tensor: AttentionOutput }
model.layers.20.self_attn.v_proj.weight	Layer { index: 20, tensor: Value }
model.layers.20.self_attn.q_norm.weight	Layer { index: 20, tensor: QueryNorm }
model.layers.20.self_attn.k_norm.weight	Layer { index: 20, tensor: KeyNorm }
model.layers.20.self_attn.g_proj.weight	Layer { index: 20, tensor: AttentionGate }
model.layers.20.post_attention_layernorm.weight	Layer { index: 20, tensor: PreMlpNorm }
model.layers.20.moe.gate.weight	Layer { index: 20, tensor: MoeRouter }
model.layers.20.moe.router_bias	Layer { index: 20, tensor: MoeRouterBias }
model.layers.20.moe.gate_proj.weight	Layer { index: 20, tensor: MoeExpertGateBank }
model.layers.20.moe.up_proj.weight	Layer { index: 20, tensor: MoeExpertUpBank }
model.layers.20.moe.down_proj.weight	Layer { index: 20, tensor: MoeExpertDownBank }
model.layers.20.share_expert.gate_proj.weight	Layer { index: 20, tensor: SharedMlpGate }
