timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 22:18:03.946, 0, P0, 2422 MHz, 12481 MHz, 325.92 W, 600.00 W, 49, 16661 MiB, 97 %
2026/09/22 22:18:04.947, 0, P0, 2422 MHz, 12481 MHz, 312.48 W, 600.00 W, 49, 16661 MiB, 97 %
2026/09/22 22:18:05.947, 0, P0, 2422 MHz, 12481 MHz, 320.98 W, 600.00 W, 49, 16661 MiB, 97 %
2026/09/22 22:18:06.948, 0, P0, 2422 MHz, 12481 MHz, 303.76 W, 600.00 W, 49, 16981 MiB, 63 %
2026/09/22 22:18:07.949, 0, P0, 2422 MHz, 12481 MHz, 314.66 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:08.950, 0, P0, 2422 MHz, 12481 MHz, 321.62 W, 600.00 W, 49, 16981 MiB, 98 %
2026/09/22 22:18:09.951, 0, P0, 2422 MHz, 12481 MHz, 315.62 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:10.952, 0, P0, 2422 MHz, 12481 MHz, 326.35 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:11.953, 0, P0, 2422 MHz, 12481 MHz, 296.72 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:12.953, 0, P0, 2422 MHz, 12481 MHz, 319.07 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:13.954, 0, P0, 2422 MHz, 12481 MHz, 320.71 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:14.955, 0, P0, 2422 MHz, 12481 MHz, 315.34 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:15.956, 0, P0, 2422 MHz, 12481 MHz, 322.27 W, 600.00 W, 49, 16981 MiB, 98 %
2026/09/22 22:18:16.957, 0, P0, 2422 MHz, 12481 MHz, 300.52 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:17.958, 0, P0, 2422 MHz, 12481 MHz, 323.59 W, 600.00 W, 50, 16981 MiB, 97 %
2026/09/22 22:18:18.959, 0, P0, 2422 MHz, 12481 MHz, 319.60 W, 600.00 W, 49, 16981 MiB, 97 %
2026/09/22 22:18:19.959, 0, P0, 2422 MHz, 12481 MHz, 319.07 W, 600.00 W, 50, 16981 MiB, 97 %
2026/09/22 22:18:20.960, 0, P0, 2422 MHz, 12481 MHz, 318.90 W, 600.00 W, 50, 16981 MiB, 97 %
2026/09/22 22:18:21.961, 0, P0, 2422 MHz, 12481 MHz, 297.24 W, 600.00 W, 49, 16981 MiB, 97 %
