t	layer	projection	row	bit_diffs	current_argmax	fused_argmax	status
4	10	0	3	0	8091	8091	PASS
4	10	1	0	0	3911	3911	PASS
4	10	1	1	0	3911	3911	PASS
4	10	1	2	0	3911	3911	PASS
4	10	1	3	0	4524	4524	PASS
4	10	2	0	0	6583	6583	PASS
4	10	2	1	0	6583	6583	PASS
4	10	2	2	0	7387	7387	PASS
4	10	2	3	0	912	912	PASS
4	10	3	0	0	110	110	PASS
4	10	3	1	0	110	110	PASS
4	10	3	2	0	18	18	PASS
4	10	3	3	0	24	24	PASS
4	10	4	0	0	118	118	PASS
4	10	4	1	0	118	118	PASS
4	10	4	2	0	118	118	PASS
4	10	4	3	0	24	24	PASS
4	10	5	0	0	23	23	PASS
4	10	5	1	0	44	44	PASS
4	10	5	2	0	17	17	PASS
4	10	5	3	0	19	19	PASS
4	12	0	0	0	3118	3118	PASS
4	12	0	1	0	6345	6345	PASS
4	12	0	2	0	2183	2183	PASS
4	12	0	3	0	543	543	PASS
4	12	1	0	0	5670	5670	PASS
4	12	1	1	0	5670	5670	PASS
4	12	1	2	0	2440	2440	PASS
4	12	1	3	0	4970	4970	PASS
4	12	2	0	0	633	633	PASS
4	12	2	1	0	633	633	PASS
4	12	2	2	0	633	633	PASS
4	12	2	3	0	633	633	PASS
4	12	3	0	0	86	86	PASS
4	12	3	1	0	4	4	PASS
4	12	3	2	0	24	24	PASS
4	12	3	3	0	86	86	PASS
4	12	4	0	0	88	88	PASS
4	12	4	1	0	88	88	PASS
4	12	4	2	0	121	121	PASS
4	12	4	3	0	126	126	PASS
4	12	5	0	0	11	11	PASS
4	12	5	1	0	59	59	PASS
4	12	5	2	0	59	59	PASS
4	12	5	3	0	31	31	PASS
4	13	0	0	0	1889	1889	PASS
4	13	0	1	0	1889	1889	PASS
4	13	0	2	0	1889	1889	PASS
4	13	0	3	0	1889	1889	PASS
4	13	1	0	0	1541	1541	PASS
4	13	1	1	0	1541	1541	PASS
4	13	1	2	0	1541	1541	PASS
4	13	1	3	0	5663	5663	PASS
4	13	2	0	0	5640	5640	PASS
4	13	2	1	0	5640	5640	PASS
4	13	2	2	0	5413	5413	PASS
4	13	2	3	0	5640	5640	PASS
4	13	3	0	0	25	25	PASS
4	13	3	1	0	11	11	PASS
4	13	3	2	0	29	29	PASS
4	13	3	3	0	78	78	PASS
4	13	4	0	0	8	8	PASS
4	13	4	1	0	8	8	PASS
4	13	4	2	0	108	108	PASS
4	13	4	3	0	43	43	PASS
4	13	5	0	0	5	5	PASS
4	13	5	1	0	5	5	PASS
4	13	5	2	0	44	44	PASS
4	13	5	3	0	44	44	PASS
4	14	0	0	0	7207	7207	PASS
4	14	0	1	0	7207	7207	PASS
4	14	0	2	0	7207	7207	PASS
4	14	0	3	0	7207	7207	PASS
4	14	1	0	0	5250	5250	PASS
4	14	1	1	0	5126	5126	PASS
4	14	1	2	0	5126	5126	PASS
4	14	1	3	0	8059	8059	PASS
4	14	2	0	0	7173	7173	PASS
4	14	2	1	0	7173	7173	PASS
4	14	2	2	0	7173	7173	PASS
4	14	2	3	0	7173	7173	PASS
4	14	3	0	0	113	113	PASS
4	14	3	1	0	113	113	PASS
4	14	3	2	0	24	24	PASS
4	14	3	3	0	87	87	PASS
4	14	4	0	0	46	46	PASS
4	14	4	1	0	46	46	PASS
4	14	4	2	0	46	46	PASS
4	14	4	3	0	106	106	PASS
4	14	5	0	0	60	60	PASS
4	14	5	1	0	3	3	PASS
4	14	5	2	0	51	51	PASS
4	14	5	3	0	41	41	PASS
4	16	0	0	0	7619	7619	PASS
4	16	0	1	0	7619	7619	PASS
4	16	0	2	0	7619	7619	PASS
